Detection timestamp,AprilTag Detection [Hz],Window size timestamp,window size
,,1690252029.67551,440847
,,1690252029.68401,440847
,,1690252029.69332,438864
,,1690252029.70382,438864
,,1690252029.71391,438864
,,1690252029.72326,436885
,,1690252029.7322,436885
,,1690252029.73977,434910
,,1690252029.74978,434910
,,1690252029.75966,432939
,,1690252030.14741,432939
,,1690252030.15106,430972
,,1690252030.15938,430972
,,1690252030.16814,430972
,,1690252030.1757,429009
,,1690252030.18334,429009
,,1690252030.19352,427050
,,1690252030.20204,427050
,,1690252030.20979,427050
,,1690252030.2178,425095
,,1690252030.22593,425095
,,1690252030.23423,423144
,,1690252030.24478,423144
,,1690252030.25369,421197
,,1690252030.64432,421197
,,1690252030.65404,421197
,,1690252030.66169,419254
,,1690252030.67046,419254
,,1690252030.67814,417315
,,1690252030.68506,417315
,,1690252030.6971,417315
,,1690252030.7056,415380
,,1690252030.71476,415380
,,1690252030.72349,413449
,,1690252030.73145,413449
,,1690252030.74048,410881
,,1690252030.74993,410881
,,1690252031.14242,410881
,,1690252031.15236,408321
,,1690252031.16276,408321
,,1690252031.17261,405769
,,1690252031.18171,405769
,,1690252031.19181,403225
,,1690252031.2004,403225
,,1690252031.20968,403225
,,1690252031.21975,400689
,,1690252031.22885,400689
,,1690252031.23749,400689
,,1690252031.25112,398161
,,1690252031.25926,395641
,,1690252031.64296,395641
,,1690252031.65311,395641
,,1690252031.66207,393129
,,1690252031.66951,393129
,,1690252031.67882,390625
,,1690252031.6858,390625
,,1690252031.6954,390625
,,1690252031.70333,388129
,,1690252031.71281,388129
,,1690252031.72039,385641
,,1690252031.72894,385641
,,1690252031.74066,383161
,,1690252031.74919,383161
,,1690252032.14181,383161
,,1690252032.1491,380689
,,1690252032.15812,380689
,,1690252032.17119,378225
,,1690252032.17741,378225
,,1690252032.18708,375769
,,1690252032.19781,375769
,,1690252032.2056,375769
,,1690252032.21458,373321
,,1690252032.22408,373321
,,1690252032.23277,370881
,,1690252032.24044,370881
,,1690252032.24982,370881
,,1690252032.64397,368449
,,1690252032.65175,368449
,,1690252032.66216,366025
,,1690252032.67213,366025
,,1690252032.68059,363609
,,1690252032.68955,363609
,,1690252032.69787,363609
,,1690252032.70689,361201
,,1690252032.71518,361201
,,1690252032.7228,358801
,,1690252032.73177,358801
,,1690252032.73925,356409
,,1690252032.74816,356409
,,1690252033.13935,356409
,,1690252033.14684,354025
,,1690252033.15837,354025
,,1690252033.16409,351649
,,1690252033.1739,351649
,,1690252033.18283,351649
,,1690252033.18958,349281
,,1690252033.19878,349281
,,1690252033.20759,346921
,,1690252033.21414,346921
,,1690252033.22311,344569
,,1690252033.2319,344569
,,1690252033.2391,344569
,,1690252033.24711,342225
,,1690252033.64025,342225
,,1690252033.65834,339889
,,1690252033.66421,339889
,,1690252033.67199,339889
,,1690252033.6821,337561
,,1690252033.68879,337561
,,1690252033.69692,335241
,,1690252033.70508,335241
,,1690252033.71993,335241
,,1690252033.72247,332929
,,1690252033.72968,332929
,,1690252033.73788,330625
,,1690252033.74614,330625
,,1690252034.13406,328329
,,1690252034.14442,328329
,,1690252034.15552,326041
,,1690252034.15899,326041
,,1690252034.16729,326041
,,1690252034.1763,323761
,,1690252034.18444,323761
,,1690252034.19183,323761
,,1690252034.20117,321489
,,1690252034.21089,321489
,,1690252034.21835,319225
,,1690252034.22617,319225
,,1690252034.23593,316969
,,1690252034.24387,316969
,,1690252034.63546,314721
,,1690252034.64568,314721
,,1690252034.65812,314721
,,1690252034.6637,312481
,,1690252034.67271,312481
,,1690252034.68095,310249
,,1690252034.6875,310249
,,1690252034.69561,310249
,,1690252034.70438,308025
,,1690252034.714,308025
,,1690252034.72071,305809
,,1690252034.72921,305809
,,1690252034.73565,303601
,,1690252034.74371,303601
,,1690252035.13548,303601
,,1690252035.14211,301401
,,1690252035.14936,301401
,,1690252035.15843,299209
,,1690252035.16587,299209
,,1690252035.17267,297025
,,1690252035.18059,297025
,,1690252035.18843,297025
,,1690252035.19571,294849
,,1690252035.20281,294849
,,1690252035.21057,292681
,,1690252035.21798,292681
,,1690252035.22729,292681
,,1690252035.2357,290521
,,1690252035.63214,290521
,,1690252035.64303,288369
,,1690252035.64938,288369
,,1690252035.65536,286225
,,1690252035.66262,286225
,,1690252035.67092,286225
,,1690252035.67796,284089
,,1690252035.68399,284089
,,1690252035.69149,281961
,,1690252035.7053,281961
,,1690252035.71339,281961
,,1690252035.71996,279841
,,1690252035.72735,279841
,,1690252035.73544,277729
,,1690252036.13388,275625
,,1690252036.14231,275625
,,1690252036.14828,275625
,,1690252036.15675,273529
,,1690252036.1642,273529
,,1690252036.17154,271441
,,1690252036.1793,271441
,,1690252036.18727,271441
,,1690252036.1961,269361
,,1690252036.20254,269361
,,1690252036.21076,267289
,,1690252036.21931,267289
,,1690252036.22676,265225
,,1690252036.62299,265225
,,1690252036.63143,265225
,,1690252036.6427,263169
,,1690252036.64809,263169
,,1690252036.65434,261121
,,1690252036.66605,261121
,,1690252036.6743,261121
,,1690252036.68198,259081
,,1690252036.69049,259081
,,1690252036.69857,257049
,,1690252036.70587,257049
,,1690252036.71373,255025
,,1690252036.7219,255025
,,1690252036.73213,255025
,,1690252037.12213,253009
,,1690252037.13045,253009
,,1690252037.13992,251001
,,1690252037.1472,251001
,,1690252037.15514,249001
,,1690252037.16298,249001
,,1690252037.17015,249001
,,1690252037.18057,247009
,,1690252037.18776,247009
,,1690252037.19739,245025
,,1690252037.20502,245025
,,1690252037.21477,243049
,,1690252037.22216,243049
,,1690252037.23022,243049
,,1690252037.62245,241081
,,1690252037.62952,241081
,,1690252037.63851,239121
,,1690252037.64328,239121
,,1690252037.65256,237169
,,1690252037.65861,237169
,,1690252037.66615,237169
,,1690252037.67319,235225
,,1690252037.68022,235225
,,1690252037.68701,235225
,,1690252037.69522,233289
,,1690252037.70321,233289
,,1690252037.71033,231361
,,1690252037.72029,231361
,,1690252037.72835,229441
,,1690252038.1189,229441
,,1690252038.13365,229441
,,1690252038.1423,227529
,,1690252038.14994,227529
,,1690252038.15801,225625
,,1690252038.16458,225625
,,1690252038.17233,223729
,,1690252038.17926,223729
,,1690252038.18636,223729
,,1690252038.19367,221841
,,1690252038.20123,221841
,,1690252038.20763,219961
,,1690252038.21484,219961
,,1690252038.22414,218089
,,1690252038.61352,218089
,,1690252038.62273,218089
,,1690252038.63053,216225
,,1690252038.6367,216225
,,1690252038.6472,214369
,,1690252038.65327,214369
,,1690252038.65996,214369
,,1690252038.6692,212521
,,1690252038.67649,212521
,,1690252038.68557,210681
,,1690252038.69318,210681
,,1690252038.70217,208849
,,1690252038.70915,208849
,,1690252038.71812,208849
,,1690252039.11149,207025
,,1690252039.11784,207025
,,1690252039.12482,205209
,,1690252039.13237,205209
,,1690252039.14318,203401
,,1690252039.14999,203401
,,1690252039.15703,203401
,,1690252039.16493,201601
,,1690252039.17163,201601
,,1690252039.17961,199809
,,1690252039.18831,199809
,,1690252039.19609,199809
,,1690252039.20258,198025
,,1690252039.21131,198025
,,1690252039.60745,196249
,,1690252039.61414,196249
,,1690252039.62807,194481
,,1690252039.63496,194481
,,1690252039.64138,194481
,,1690252039.64899,192721
,,1690252039.65624,192721
,,1690252039.66367,190969
,,1690252039.6715,190969
,,1690252039.67753,190969
,,1690252039.68563,189225
,,1690252039.69186,189225
,,1690252039.69951,187489
,,1690252039.70928,187489
,,1690252039.71713,185761
,,1690252040.10518,185761
,,1690252040.11337,185761
,,1690252040.12141,184041
,,1690252040.12979,184041
,,1690252040.13844,182329
,,1690252040.14492,182329
,,1690252040.15182,182329
,,1690252040.15987,180625
,,1690252040.16723,180625
,,1690252040.17445,178929
,,1690252040.18221,178929
,,1690252040.18901,177241
,,1690252040.19605,177241
,,1690252040.20421,177241
,,1690252040.21175,175561
,,1690252040.60249,175561
,,1690252040.60904,173889
,,1690252040.61547,173889
,,1690252040.62221,172225
,,1690252040.63111,172225
,,1690252040.63743,172225
,,1690252040.64384,170569
,,1690252040.65123,170569
,,1690252040.66081,168921
,,1690252040.667,168921
,,1690252040.67983,167281
,,1690252040.69083,167281
,,1690252040.7042,167281
,,1690252040.71232,165649
